Host Id,Host Since,Namefixed ,Name,Neighbourhood ,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating
7414,4/2/2009,Skylight On Greene,Skylight on Greene,Brooklyn,Apartment,75,Entire home/apt,11217,3,1,6,150,76
7498,6/2/2009,Your Own Studiopatio No Roommates,Your own studiopatio no roommates,Manhattan,Apartment,80,Entire home/apt,10002,1,1,1,80,80
7510,6/2/2009,Big Lovely Chelsea Studio Sleeps 5,Big Lovely Chelsea Studio Sleeps 5,Manhattan,Apartment,85,Entire home/apt,10010,1,1,8,190,89
7510,6/2/2009,Grande Super Large Apt ,Grande Super Large APT ,Manhattan,Apartment,80,Entire home/apt,10010,3,1,10,190,80
7510,6/2/2009,Great Apartment With Patio,Great Apartment with PATIO,Manhattan,Apartment,80,Entire home/apt,10010,2,1,1,190,80
7510,6/2/2009,Super Large Apt,Super Large APT,Manhattan,Apartment,80,Entire home/apt,10010,2,1,29,175,80
7510,6/2/2009,Huge And Sunny One Bedroom,HUGE and SUNNY one bedroom,Manhattan,Apartment,90,Entire home/apt,10011,2,1,29,190,93
7549,7/2/2009,Cute & Cozy Lower East Side 1 Bdrm,Cute & Cozy Lower East Side 1 bdrm,Manhattan,Apartment,90,Entire home/apt,10002,1,1,112,140,94
7549,7/2/2009,"Cute,Cozy Lower East Side 1Bdrm","Cute,Cozy Lower East Side 1bdrm",Manhattan,Apartment,95,Entire home/apt,10002,1,1,4,140,95
7549,7/2/2009,Lowereastside Apt Share Shortterm 2,LowerEastSide apt share shortterm 2,Manhattan,Apartment,95,Private room,10002,1,1,25,75,97
7549,7/2/2009,Lowereastside Apt Share Shortterm 1,LowerEastSide apt share shortterm 1,Manhattan,Apartment,95,Shared room,10002,1,1,132,45,95
7549,7/2/2009,Lowereastside Apt Share Shortterm 3,LowerEastSide apt share shortterm 3,Manhattan,Apartment,95,Shared room,10002,1,1,17,45,95
7611,9/2/2009,Artist'S Loft With Indoor Hammock,Artist's Loft with indoor Hammock,Brooklyn,Apartment,95,Entire home/apt,11211,1,1,51,135,95
7612,9/2/2009,Cute Cozy Studio In Manhattan,Cute Cozy Studio in Manhattan,Manhattan,Apartment,90,Entire home/apt,10023,1,1,29,145,91
7626,9/2/2009,LES Must See,L.E.S. Must See,Manhattan,Apartment,85,Entire home/apt,10002,1,1,156,100,86
7702,10/2/2009,Beautiful 1Br On Upper West Side,Beautiful 1br on Upper West Side,Manhattan,Apartment,90,Entire home/apt,10025,1,1,30,135,94
7740,11/2/2009,Cozy Girly Studio; Upper West Side,Cozy Girly Studio; Upper West Side,Manhattan,Apartment,90,Entire home/apt,10024,1,1,98,200,94
7949,15/2/2009,Creative Charm In Brooklyn,Creative Charm in Brooklyn,Brooklyn,Apartment,100,Private room,11238,1,1,4,65,100
7987,16/2/2009,Upper West SideUnique One Bedroom,Upper West Side-Unique One Bedroom,Manhattan,Apartment,90,Entire home/apt,10025,1,1,24,145,94
7989,16/2/2009,Central Manhattan/Near Broadway,Central Manhattan/near Broadway,Manhattan,Apartment,95,Private room,10036,1,1,74,135,97
7999,16/2/2009,Sunny Large 1 Bedroom W/ Balconies,Sunny Large 1 Bedroom w/ balconies,Brooklyn,Apartment,100,Entire home/apt,11222,1,1,1,165,100
8057,17/2/2009,Great New Lower East Side/ Soho Apt,GREAT NEW LOWER EAST SIDE/ SOHO APT,Manhattan,Apartment,85,Entire home/apt,10002,2,1,20,225,89
8057,17/2/2009,Huge 2 Bedroom Loft Noho/East Vill,HUGE 2 BEDROOM LOFT NOHO/EAST VILL.,Manhattan,Apartment,75,Entire home/apt,10003,3,1,32,250,78
8057,17/2/2009,Ideal Charming Large W Village Apt,Ideal Charming Large W Village Apt,Manhattan,Apartment,85,Entire home/apt,10014,3,1,32,250,85
8057,17/2/2009,Huge Modern Luxury2Bed/2Bathpatio,HUGE MODERN LUXURY-2bed/2bathpatio,Manhattan,Loft,100,Entire home/apt,10009,2,1,5,600,100
8178,19/2/2009,Location Location Location,Location Location Location,Brooklyn,Apartment,90,Entire home/apt,11215,1,1,188,145,90
8178,19/2/2009,Sunny Beautiful Sublet All Yours,Sunny Beautiful Sublet All Yours,Brooklyn,Apartment,90,Entire home/apt,11215,3,1,221,149,92
8198,19/2/2009,Park Slope Haven 15 Mins From Soho,Park Slope haven 15 mins from Soho,Brooklyn,Apartment,90,Entire home/apt,11217,1,1,39,150,93
8380,22/2/2009,River View In The Village,River view in the Village,Manhattan,Apartment,95,Entire home/apt,10014,1,1,57,200,98
8425,23/2/2009,Charming WVillage Apt 8/259/15,Charming W.Village Apt. 8/25-9/15,Manhattan,Apartment,100,Entire home/apt,10014,1,1,1,175,100
8440,23/2/2009,Luxe 1Bd Apartment By Prospect Park,Luxe 1BD apartment by Prospect Park,Brooklyn,Apartment,95,Entire home/apt,11218,1,1,4,150,95
8605,25/2/2009,Sunny 1Br East Harlem Apartment,Sunny 1BR East Harlem Apartment,Manhattan,Apartment,90,Entire home/apt,10035,2,1,11,109,91
8703,27/2/2009,"Clean, Safe, Convenient, Comfy","Clean, Safe, Convenient, Comfy",Manhattan,Apartment,100,Shared room,10027,1,1,3,80,100
8730,27/2/2009,Comfort & Convenience,Comfort & Convenience,Manhattan,Condominium,100,Entire home/apt,10003,6,1,4,"1,990",100
8967,3/3/2009,Large Furnished Room Near B'Way,Large Furnished Room Near B'way,Manhattan,Apartment,85,Private room,10019,1,1,242,73,85
9744,10/3/2009,"Beautiful Apt, Garden 3 Best Area","Beautiful Apt, Garden 3 Best Area",Brooklyn,Apartment,95,Entire home/apt,11215,3,1,67,135,97
9744,10/3/2009,Gorgeous House Room 2 Best Location,Gorgeous house Room 2 BEST location,Brooklyn,House,95,Private room,11215,2,1,95,89,96
9744,10/3/2009,"Gorgeous Room 1, Best Location","Gorgeous Room 1, Best Location",Brooklyn,House,90,Private room,11215,2,1,118,89,92
10176,14/3/2009,"Amazing Apt In Williamsburg, Ny","Amazing Apt in WILLIAMSBURG, NY",Brooklyn,Apartment,95,Entire home/apt,11211,2,1,60,250,96
10889,21/3/2009,The Institute—Heart Of Williamsburg,The Institute—Heart of Williamsburg,Brooklyn,Apartment,90,Entire home/apt,11249,2,1,136,250,94
10889,21/3/2009,Great House In Williamsburg,Great house in Williamsburg,Brooklyn,House,95,Entire home/apt,11211,2,1,14,250,98
11037,22/3/2009,"Large, Sunny, Central 2Br; Terrace","Large, Sunny, Central 2br; Terrace",Brooklyn,Apartment,100,Entire home/apt,11217,2,1,2,240,100
11481,26/3/2009,House On 11Th  Garden Level Apt,House on 11th - Garden Level Apt.,Brooklyn,Apartment,90,Entire home/apt,11215,1,1,119,165,91
11481,26/3/2009,Sunset Retreat  Charming Oasis,Sunset Retreat - Charming Oasis,Brooklyn,Apartment,90,Entire home/apt,11220,1,1,79,90,90
11481,26/3/2009,Sunset Retreat  Top Floor Oasis,Sunset Retreat - Top Floor Oasis,Brooklyn,Apartment,85,Entire home/apt,11220,1,1,21,105,88
11481,26/3/2009,House On Henry (2Nd Flr Suite,House on Henry (2nd FLR Suite),Brooklyn,Apartment,85,Entire home/apt,11231,2,1,68,155,88
11481,26/3/2009,House On Henry (3Rd Flr Suite,House on Henry (3rd FLR Suite),Brooklyn,Apartment,90,Entire home/apt,11231,2,1,106,160,94
12169,3/4/2009,"Dream Come True, Too Williamsburg","Dream Come True, Too Williamsburg",Brooklyn,Apartment,90,Private room,11211,1,1,43,89,94
12169,3/4/2009,"Dream Come True Williamsburg, Bk","Dream Come True Williamsburg, BK",Brooklyn,Apartment,90,Private room,11211,1,1,91,99,93
12220,4/4/2009,Big Room In Front Of Central Park,Big Room in front of Central Park,Manhattan,Apartment,85,Private room,10025,1,1,74,132,88
12220,4/4/2009,Your Room In Front Of Central Park,Your Room in front of Central Park,Manhattan,Apartment,90,Private room,10025,1,1,141,117,90
12221,4/4/2009,5Minutes To Manhattan Cozy Oasis,5Minutes To Manhattan Cozy Oasis,Bronx,Apartment,80,Private room,10451,3,1,105,42,81
12221,4/4/2009,5Minutes To Manhattan Zen&Cozy,5Minutes To Manhattan Zen&Cozy,Bronx,Apartment,85,Private room,10451,3,1,96,42,87
12712,8/4/2009,Lovely Bklyn Apt With Private Deck,Lovely Bklyn Apt with Private Deck,Brooklyn,Apartment,90,Entire home/apt,11205,1,1,5,135,92
12712,8/4/2009,Perfectly Situated Les 1Bedroom,Perfectly Situated LES 1-Bedroom,Manhattan,Apartment,90,Entire home/apt,10002,1,1,146,125,91
12712,8/4/2009,Real 2Bedroom East Village Apt,Real 2-Bedroom East Village Apt,Manhattan,Apartment,85,Entire home/apt,10009,3,1,63,200,87
12869,10/4/2009,Luxury On A Budget,Luxury on a Budget,Manhattan,Apartment,90,Entire home/apt,10009,1,1,13,250,92
13070,12/4/2009,Spacious Clean & Quiet 2 Bed/2Bath,Spacious clean & quiet 2 bed/2bath,Manhattan,Bed & Breakfast,80,Entire home/apt,10128,2,1,58,295,83
13424,14/4/2009,An Oasis In Hell'S Kitchen,An Oasis In Hell's Kitchen,Manhattan,Apartment,100,Entire home/apt,10019,1,1,7,280,100
13908,18/4/2009,2 Br Upper West Side Apt,2 BR Upper West Side Apt.,Manhattan,Apartment,65,Entire home/apt,10025,3,1,12,150,66
14063,19/4/2009,Bk Heights Apartment For Cat Lovers,BK Heights Apartment for cat lovers,Brooklyn,Apartment,100,Entire home/apt,11201,3,1,4,125,100
14204,20/4/2009,Charming 2 Bedroom Red Hook Loft,Charming 2 Bedroom Red Hook Loft,Brooklyn,Apartment,100,Entire home/apt,11231,2,1,18,230,100
14204,20/4/2009,Private Room In Red Hook Loft,Private room in Red Hook loft,Brooklyn,Apartment,95,Private room,11231,1,1,21,110,98
15154,28/4/2009,"Bright 1 Bedroom, Perfect Location","Bright 1 Bedroom, Perfect Location",Manhattan,Apartment,80,Entire home/apt,10023,1,1,2,160,80
15167,28/4/2009,2 Bed 2 Bath Apt W/ Balcony & Wifi,2 Bed 2 Bath Apt w/ balcony & WiFi,Manhattan,Apartment,95,Entire home/apt,10031,3,1,13,107,98
15192,28/4/2009,Cozy Furnished 2 Bedroom Apartment,Cozy Furnished 2 Bedroom Apartment,Brooklyn,Apartment,80,Entire home/apt,11216,3,1,8,159,84
15261,29/4/2009,Cute Room In Hip Fort Greene,Cute room in hip Fort Greene,Brooklyn,Apartment,80,Private room,11205,1,1,1,50,80
15742,4/5/2009,"Beautiful, Private, Uptown Studio","Beautiful, private, uptown studio",Manhattan,Apartment,80,Entire home/apt,10031,1,1,20,110,83
16800,12/5/2009,Ues Beautiful Blue Room / Oak Room,UES Beautiful Blue Room / Oak Room,Manhattan,Apartment,95,Private room,10029,2,1,150,95,96
16800,12/5/2009,Ues Beautiful Home Red Velvet Room,UES Beautiful Home Red Velvet Room,Manhattan,Apartment,95,Private room,10029,2,1,41,95,95
16851,12/5/2009,"Hip Whole Apt In Wmsburg, Brooklyn","Hip Whole Apt in Wmsburg, Brooklyn",Brooklyn,Apartment,90,Entire home/apt,11211,1,1,8,125,93
16883,13/5/2009,Spacious Charming Loft Studio,Spacious Charming Loft Studio,Manhattan,Loft,90,Entire home/apt,10024,2,1,4,135,91
17296,15/5/2009,Bright Studio In Central Mahattan,Bright studio in central Mahattan,Manhattan,Apartment,95,Entire home/apt,10016,1,1,5,100,96
17571,17/5/2009,Perfect For Grandparents  Garden,Perfect for Grandparents  Garden,Brooklyn,House,95,Entire home/apt,11205,2,1,80,200,95
17571,17/5/2009,Perfect For Parents (Part 2,Perfect for Parents (Part 2),Brooklyn,House,95,Private room,11205,1,1,32,239,97
17655,18/5/2009,Modern Les Studio W/ Skyline Views,Modern LES Studio w/ Skyline Views,Manhattan,Apartment,95,Entire home/apt,10002,1,1,17,220,97
17798,19/5/2009,East Village Designer Luxury Loft,EAST VILLAGE DESIGNER LUXURY LOFT,Manhattan,Apartment,100,Entire home/apt,10009,3,1,4,399,100
17930,19/5/2009,Charming 2 Bedroom By Prospect Park,Charming 2 Bedroom by Prospect Park,Brooklyn,Apartment,100,Entire home/apt,11218,3,1,1,199,100
17985,20/5/2009,Amazing Chinatown/Soho One Bed Room,Amazing Chinatown/SOHO one bed room,Manhattan,Apartment,85,Entire home/apt,10002,2,1,38,130,86
18174,21/5/2009,Cosy 2 Bedroom In East Village,Cosy 2 bedroom in East Village,Manhattan,Apartment,90,Entire home/apt,10003,3,1,55,160,92
18374,22/5/2009,Bright & Modern Downtown Studio,Bright & Modern Downtown Studio,Manhattan,Apartment,95,Entire home/apt,10003,1,1,89,135,96
18611,24/5/2009,East Village Sunny & Large 2 Bdr,East Village sunny & large 2 bdr,Manhattan,Apartment,95,Entire home/apt,10003,2,1,5,350,96
18729,25/5/2009,"Spacious, Beautiful Condo In Bklyn","SPACIOUS, BEAUTIFUL CONDO IN BKLYN",Brooklyn,Condominium,95,Entire home/apt,11215,2,1,9,375,98
19031,27/5/2009,Charming Greenwich Village Apt,Charming Greenwich Village Apt,Manhattan,Apartment,80,Entire home/apt,10012,1,1,14,225,81
19852,2/6/2009,Lg Beautiful Garden Apt Sleeps 2,Lg Beautiful Garden Apt Sleeps 2,Manhattan,Apartment,95,Entire home/apt,10035,1,1,8,165,97
19969,3/6/2009,Soho Loft  Entire Floor,SoHo Loft - Entire Floor,Manhattan,Apartment,95,Entire home/apt,10013,1,1,52,585,96
20149,4/6/2009,Cool East Williamsburg Apartment,Cool East Williamsburg Apartment,Brooklyn,Apartment,95,Private room,11206,1,1,46,40,96
20805,9/6/2009,Huge Brooklyn Room With Aussie Host,Huge Brooklyn Room with Aussie Host,Brooklyn,Apartment,100,Private room,11225,1,1,12,85,100
21286,12/6/2009,Uws Garden Getaway,UWS Garden Getaway,Manhattan,Apartment,95,Entire home/apt,10024,2,1,9,225,97
21306,12/6/2009,"Large, Bright 1 Bdr In Williamsburg","Large, Bright 1 bdr in Williamsburg",Brooklyn,Apartment,95,Private room,11222,1,1,11,110,96
21475,14/6/2009,HighEnd Doorman Bldg In The Les,High-end doorman bldg in the LES,Manhattan,Apartment,95,Private room,10002,1,1,55,125,96
21823,16/6/2009,Soaring Bushwick 3 Bedroom,Soaring Bushwick 3 Bedroom,Brooklyn,Apartment,95,Entire home/apt,11221,5,1,9,275,98
21904,16/6/2009,Modern 1 Br / Nyc / East Village,Modern 1 BR / NYC / EAST VILLAGE,Manhattan,Apartment,90,Entire home/apt,10003,1,1,8,240,93
22220,18/6/2009,Modern Brick 1 Bedroom On Ues,Modern brick 1 bedroom on UES,Manhattan,Apartment,90,Entire home/apt,10028,1,1,17,175,91
22486,20/6/2009,Cbg Williamsburg  Loft Room,CBG Williamsburg  loft room,Brooklyn,Loft,75,Entire home/apt,11211,4,1,6,130,76
22486,20/6/2009,Cbg Ctybegoodhelpshaiti114,CBG CtyBeGoodHelpsHaiti1:1-4,Brooklyn,House,90,Private room,11217,10,1,77,130,91
22486,20/6/2009,Communitybegood Helps Haiti Rm 2,CommunityBeGood Helps Haiti Rm 2,Brooklyn,House,85,Private room,11217,1,1,39,130,89
22486,20/6/2009,Communitybegood Helps Haiti Rm 3,CommunityBeGood Helps Haiti Rm 3,Brooklyn,House,85,Private room,11217,2,1,13,130,86
22486,20/6/2009,Communitybegoodhelpshaiti 5 Suite,CommunityBeGoodHelpsHaiti 5 Suite,Brooklyn,House,100,Private room,11217,2,1,3,130,100
22486,20/6/2009,Communitybegoodhelpshaiti25,CommunitybegoodHelpsHaiti2.5,Brooklyn,House,90,Private room,11217,2,1,17,120,93
23048,24/6/2009,Park Slope Oasis Your Home Base,Park Slope Oasis: Your home base,Brooklyn,Apartment,90,Entire home/apt,11215,1,1,18,139,94
23193,25/6/2009,"Bright, Cozy Den In 4 Bedrm Duplex","Bright, cozy den in 4 bedrm duplex.",Brooklyn,House,100,Private room,11221,1,1,2,35,100
23276,25/6/2009,"Luxe, Spacious 2Br 2Ba Nr Trains","Luxe, Spacious 2BR 2BA Nr Trains",Brooklyn,Apartment,100,Entire home/apt,11215,2,1,3,260,100
23435,26/6/2009,Spectacular River View Studio,Spectacular River View Studio,Manhattan,Apartment,95,Entire home/apt,10281,1,1,48,185,96
23577,28/6/2009,Williamsburg Foodie Inspired Loft,Williamsburg foodie inspired loft,Brooklyn,Loft,95,Entire home/apt,11249,1,1,16,175,99
23727,29/6/2009,Prospect Heights Quiet Sunny Nest,Prospect Heights quiet sunny nest,Brooklyn,Apartment,95,Entire home/apt,11238,2,1,6,150,97
23843,30/6/2009,Lower East Side/Ev 1 Br Charmer,Lower East Side/EV 1 BR Charmer,Manhattan,Apartment,95,Entire home/apt,10002,1,1,15,175,96
23856,30/6/2009,Large Modern 2Br By Mccaren Park,Large modern 2-BR by McCaren Park,Brooklyn,Apartment,100,Entire home/apt,11222,1,1,2,150,100
24000,1/7/2009,Sunny East Village Bdrm,sunny EAST VILLAGE bdrm,Manhattan,Apartment,90,Private room,10009,1,1,80,133,91
24222,2/7/2009,"3Br, 15 Ba Ev Apt W/ Backyard","3BR, 1.5 BA EV apt w/ backyard",Manhattan,Apartment,95,Entire home/apt,10009,4,1,9,375,96
25100,10/7/2009,Room In Uws Steps To Central Park,Room in UWS steps to Central Park,Manhattan,Apartment,90,Private room,10025,1,1,4,180,90
25183,10/7/2009,Maison Des Sirenes 3,MAISON DES SIRENES 3,Brooklyn,Apartment,90,Entire home/apt,11216,4,1,23,150,91
25183,10/7/2009,"Maison Des Sirenes1,Book Now","MAISON DES SIRENES1,book NOW",Brooklyn,Apartment,90,Entire home/apt,11216,4,1,36,150,92
25533,13/7/2009,Nyc Sofa Bed St Marks East Village,NYC Sofa bed St Marks East Village,Manhattan,Apartment,80,Private room,10003,1,1,30,59,81
25533,13/7/2009,Nyc Spacious Room East Village,NYC Spacious Room East Village,Manhattan,Apartment,70,Private room,10003,1,1,14,99,72
25533,13/7/2009,Nyc Spacious Room East Village (2,NYC Spacious Room East Village (2),Manhattan,Apartment,90,Private room,10003,1,1,3,99,90
25551,14/7/2009,Williamsburg Design // With Balcony,williamsburg design // with balcony,Brooklyn,Apartment,95,Entire home/apt,11211,1,1,20,199,97
25632,14/7/2009,"Sunny 2Bd, 2 Balconies","Sunny 2BD, 2 balconies",Brooklyn,Apartment,100,Entire home/apt,11222,2,1,1,300,100
26210,19/7/2009,Private Room In Harlem Apartment,Private room in Harlem apartment,Manhattan,Apartment,90,Private room,10039,1,1,69,85,94
26333,20/7/2009,Artist Loft In Midtown West,Artist Loft in Midtown West,Manhattan,Apartment,95,Entire home/apt,10018,2,1,6,375,96
26640,21/7/2009,Gorgeous Sunny Studio,Gorgeous Sunny Studio,Manhattan,Apartment,75,Entire home/apt,10024,2,1,38,135,79
26640,21/7/2009,Stunning 1Br In Historic Brownstone,Stunning 1br in Historic Brownstone,Manhattan,Apartment,90,Entire home/apt,10024,2,1,26,289,91
26640,21/7/2009,Sunny Studios In Historic Browstone,Sunny Studios in Historic Browstone,Manhattan,Apartment,80,Entire home/apt,10024,1,1,9,179,80
27104,23/7/2009,Great Room In Manhattan  $60/Night,Great Room in Manhattan - $60/Night,Manhattan,Apartment,90,Private room,10030,1,1,73,60,93
27848,27/7/2009,Bargain Space,Bargain Space,Queens,House,85,Private room,11434,2,1,24,55,88
27848,27/7/2009,Crash Palace,CRASH PALACE,Queens,House,85,Private room,11434,2,1,11,68,86
27848,27/7/2009,Enjoy The City On Cheap,ENJOY THE CITY ON CHEAP,Queens,House,75,Private room,11434,1,1,43,45,78
